tokenId,minter
0,0x1387B0766e0c049b5836d3073B87B45908293948
1,0x1387B0766e0c049b5836d3073B87B45908293948
2,0x1387B0766e0c049b5836d3073B87B45908293948
3,0x1387B0766e0c049b5836d3073B87B45908293948
4,0x1387B0766e0c049b5836d3073B87B45908293948
5,0x1387B0766e0c049b5836d3073B87B45908293948
6,0x1387B0766e0c049b5836d3073B87B45908293948
7,0x1387B0766e0c049b5836d3073B87B45908293948
8,0x1387B0766e0c049b5836d3073B87B45908293948
9,0x1387B0766e0c049b5836d3073B87B45908293948
10,0x1387B0766e0c049b5836d3073B87B45908293948
11,0x1387B0766e0c049b5836d3073B87B45908293948
12,0x1387B0766e0c049b5836d3073B87B45908293948
13,0x1387B0766e0c049b5836d3073B87B45908293948
14,0x1387B0766e0c049b5836d3073B87B45908293948
15,0x1387B0766e0c049b5836d3073B87B45908293948
16,0x1387B0766e0c049b5836d3073B87B45908293948
17,0x1387B0766e0c049b5836d3073B87B45908293948
18,0x1387B0766e0c049b5836d3073B87B45908293948
19,0x1387B0766e0c049b5836d3073B87B45908293948
20,0x1387B0766e0c049b5836d3073B87B45908293948
21,0x1387B0766e0c049b5836d3073B87B45908293948
22,0x1387B0766e0c049b5836d3073B87B45908293948
23,0x1387B0766e0c049b5836d3073B87B45908293948
24,0x1387B0766e0c049b5836d3073B87B45908293948
25,0x1387B0766e0c049b5836d3073B87B45908293948
26,0x1387B0766e0c049b5836d3073B87B45908293948
27,0x1387B0766e0c049b5836d3073B87B45908293948
28,0x1387B0766e0c049b5836d3073B87B45908293948
29,0x1387B0766e0c049b5836d3073B87B45908293948
30,0x1387B0766e0c049b5836d3073B87B45908293948
31,0x1387B0766e0c049b5836d3073B87B45908293948
32,0x1387B0766e0c049b5836d3073B87B45908293948
33,0x1387B0766e0c049b5836d3073B87B45908293948
34,0x1387B0766e0c049b5836d3073B87B45908293948
35,0x1387B0766e0c049b5836d3073B87B45908293948
36,0x1387B0766e0c049b5836d3073B87B45908293948
37,0x1387B0766e0c049b5836d3073B87B45908293948
38,0x1387B0766e0c049b5836d3073B87B45908293948
39,0x1387B0766e0c049b5836d3073B87B45908293948
40,0x1387B0766e0c049b5836d3073B87B45908293948
41,0x1387B0766e0c049b5836d3073B87B45908293948
42,0x1387B0766e0c049b5836d3073B87B45908293948
43,0x1387B0766e0c049b5836d3073B87B45908293948
44,0x1387B0766e0c049b5836d3073B87B45908293948
45,0x1387B0766e0c049b5836d3073B87B45908293948
46,0x1387B0766e0c049b5836d3073B87B45908293948
47,0x1387B0766e0c049b5836d3073B87B45908293948
48,0x1387B0766e0c049b5836d3073B87B45908293948
49,0x1387B0766e0c049b5836d3073B87B45908293948
50,0x1387B0766e0c049b5836d3073B87B45908293948
51,0x1387B0766e0c049b5836d3073B87B45908293948
52,0x1387B0766e0c049b5836d3073B87B45908293948
53,0x1387B0766e0c049b5836d3073B87B45908293948
54,0x1387B0766e0c049b5836d3073B87B45908293948
55,0x1387B0766e0c049b5836d3073B87B45908293948
56,0x1387B0766e0c049b5836d3073B87B45908293948
57,0x1387B0766e0c049b5836d3073B87B45908293948
58,0x1387B0766e0c049b5836d3073B87B45908293948
59,0x1387B0766e0c049b5836d3073B87B45908293948
60,0x1387B0766e0c049b5836d3073B87B45908293948
61,0x1387B0766e0c049b5836d3073B87B45908293948
62,0x1387B0766e0c049b5836d3073B87B45908293948
63,0x1387B0766e0c049b5836d3073B87B45908293948
64,0x1387B0766e0c049b5836d3073B87B45908293948
65,0x1387B0766e0c049b5836d3073B87B45908293948
66,0x1387B0766e0c049b5836d3073B87B45908293948
67,0x1387B0766e0c049b5836d3073B87B45908293948
68,0x1387B0766e0c049b5836d3073B87B45908293948
69,0x1387B0766e0c049b5836d3073B87B45908293948
70,0x1387B0766e0c049b5836d3073B87B45908293948
71,0x1387B0766e0c049b5836d3073B87B45908293948
72,0x1387B0766e0c049b5836d3073B87B45908293948
73,0x1387B0766e0c049b5836d3073B87B45908293948
74,0x1387B0766e0c049b5836d3073B87B45908293948
75,0x1387B0766e0c049b5836d3073B87B45908293948
76,0x1387B0766e0c049b5836d3073B87B45908293948
77,0x1387B0766e0c049b5836d3073B87B45908293948
78,0x1387B0766e0c049b5836d3073B87B45908293948
79,0x1387B0766e0c049b5836d3073B87B45908293948
80,0x1387B0766e0c049b5836d3073B87B45908293948
81,0x1387B0766e0c049b5836d3073B87B45908293948
82,0x1387B0766e0c049b5836d3073B87B45908293948
83,0x1387B0766e0c049b5836d3073B87B45908293948
84,0x1387B0766e0c049b5836d3073B87B45908293948
85,0x1387B0766e0c049b5836d3073B87B45908293948
86,0x1387B0766e0c049b5836d3073B87B45908293948
87,0x1387B0766e0c049b5836d3073B87B45908293948
